Exam Flag	Course Code	Course Name	Part	Sem
PG_SEMESTER_2Y	809	(P.G)-M.A. HISTORY	II	III
PG_SEMESTER_2Y	811	(P.G)-M.A. SANSKRIT	II	III
PG_SEMESTER_2Y	812	(P.G)-MASTER OF COMMERCE	II	III
PG_SEMESTER_2Y	813	(P.G)-(N.C.W.E.B) M.SC. MATHEMATICS	II	III
PG_SEMESTER_2Y	814	(P.G)-M.SC. CHEMISTRY	II	III
PG_SEMESTER_2Y	815	(P.G)-M.SC. MATHEMATICS	II	III
PG_SEMESTER_2Y	816	(P.G)-M.SC. PHYSICS	II	III
PG_SEMESTER_2Y	821	(P.G)-M.SC.OPERATIONAL RESEARCH	II	III
PG_SEMESTER_2Y	822	(P.G)-M.SC. COMPUTER SCIENCE	II	III
PG_SEMESTER_2Y	824	(P.G)-M.A. GEOGRAPHY	II	III
PG_SEMESTER_2Y	827	(P.G)- MASTER OF BUSINESS ADMINISTRATION (EXECUTIVE)	II	III
PG_SEMESTER_2Y	854	(P.G.) M. A. JAPANESE	II	III
PG_SEMESTER_2Y	913	(C.I.C) - M.SC. (MATHEMATICS EDUCATION)	II	III
PG_SEMESTER_2Y	SOL_809	(P.G)-(SOL) M.A. HISTORY	II	III
PG_SEMESTER_2Y	SOL_810	(P.G)-(SOL) M.A. POLITICAL SCIENCE	II	III
PG_SEMESTER_2Y	SOL_812	(P.G)-(SOL) MASTER OF COMMERCE	II	III
PG_SEMESTER_2Y	SOL_810	(P.G)-(SOL) M.A. POLITICAL SCIENCE	II	IV
PG_SEMESTER_2Y_CBCS	713	(CBCS_PG) M.A. HINDI	I	I
PG_SEMESTER_2Y_CBCS	716	(CBCS_PG) M.A. HISTORY	I	I
PG_SEMESTER_2Y_CBCS	724	(CBCS_PG) M.A. POLITICAL SCIENCE	I	I
PG_SEMESTER_2Y_CBCS	774	(CBCS_PG) MASTER OF COMMERCE	I	I
PG_SEMESTER_2Y_CBCS	775	(CBCS_PG) MBA BUSINESS ECONOMICS	I	I
PG_SEMESTER_2Y_CBCS	776	(CBCS_PG) MBA FINANCE	I	I
PG_SEMESTER_2Y_CBCS	777	(CBCS_PG) MBA	I	I
PG_SEMESTER_2Y_CBCS	778	(CBCS_PG) MBA- EXECUTIVE	I	I
PG_SEMESTER_2Y_CBCS	779	(CBCS_PG) MBA: (EXECUTIVE) HEALTH CARE ADMINISTRATION	I	I
PG_SEMESTER_2Y_CBCS	798	(CBCS_PG) MBA (HRD)	I	I
PG_SEMESTER_2Y_CBCS	799	(CBCS_PG) MBA (IB)	I	I
PG_SEMESTER_2Y_CBCS	701	(CBCS_PG) M.A. APPLIED PSYCHOLOGY	II	III
PG_SEMESTER_2Y_CBCS	702	(CBCS_PG) M.A. ARABIC	II	III
PG_SEMESTER_2Y_CBCS	703	(CBCS_PG) M.A. BENGALI	II	III
PG_SEMESTER_2Y_CBCS	704	(CBCS_PG) M.A. BUDDHIST STUDIES	II	III
PG_SEMESTER_2Y_CBCS	705	(CBCS_PG) M.A. COMPARATIVE INDIAN LITERATURE	II	III
PG_SEMESTER_2Y_CBCS	706	(CBCS_PG) M.A. EAST ASIAN STUDIES	II	III
PG_SEMESTER_2Y_CBCS	707	(CBCS_PG) M.A. ECONOMICS	II	III
PG_SEMESTER_2Y_CBCS	708	(CBCS_PG) M.A. ENGLISH	II	III
PG_SEMESTER_2Y_CBCS	709	(CBCS_PG) M.A. ENVIRONMENTAL STUDIES	II	III
PG_SEMESTER_2Y_CBCS	710	(CBCS_PG) M.A. FRENCH	II	III
PG_SEMESTER_2Y_CBCS	711	(CBCS_PG) M.A. GEOGRAPHY	II	III
PG_SEMESTER_2Y_CBCS	712	(CBCS_PG) M.A. GERMAN	II	III
PG_SEMESTER_2Y_CBCS	713	(CBCS_PG) M.A. HINDI	II	III
PG_SEMESTER_2Y_CBCS	714	(CBCS_PG) M.A. HINDUSTANI MUSIC (VOCAL/INSTRUMENTAL-SITAR/ SAROD/ GUITAR/ VIOLIN/ SANTOOR)
II	III
PG_SEMESTER_2Y_CBCS	715	(CBCS_PG) M.A. HISPANIC	II	III
PG_SEMESTER_2Y_CBCS	716	(CBCS_PG) M.A. HISTORY	II	III
PG_SEMESTER_2Y_CBCS	717	(CBCS_PG) M.A. ITALIAN	II	III
PG_SEMESTER_2Y_CBCS	718	(CBCS_PG) M.A. KARNATAK MUSIC (VOCAL/ VEENA/ VIOLIN)	II	III
PG_SEMESTER_2Y_CBCS	719	(CBCS_PG) M.A. LIFE LONG LEARNING & EXTENSION	II	III
PG_SEMESTER_2Y_CBCS	720	(CBCS_PG) M.A. LINGUISTICS	II	III
PG_SEMESTER_2Y_CBCS	721	(CBCS_PG) M.A. PERCUSSION MUSIC (TABLA/PAKHAWAJ)	II	III
PG_SEMESTER_2Y_CBCS	722	(CBCS_PG) M.A. PERSIAN	II	III
PG_SEMESTER_2Y_CBCS	723	(CBCS_PG) M.A. PHILOSOPHY	II	III
PG_SEMESTER_2Y_CBCS	724	(CBCS_PG) M.A. POLITICAL SCIENCE	II	III
PG_SEMESTER_2Y_CBCS	725	(CBCS_PG) M.A. PSYCHOLOGY	II	III
PG_SEMESTER_2Y_CBCS	726	(CBCS_PG) M.A. PUNJABI	II	III
PG_SEMESTER_2Y_CBCS	727	(CBCS_PG) M.A. RUSSIAN	II	III
PG_SEMESTER_2Y_CBCS	728	(CBCS_PG) M.A. SANSKRIT	II	III
PG_SEMESTER_2Y_CBCS	729	(CBCS_PG) M.A. SOCIAL WORK	II	III
PG_SEMESTER_2Y_CBCS	730	(CBCS_PG) M.A. SOCIOLOGY	II	III
PG_SEMESTER_2Y_CBCS	732	(CBCS_PG) M.A. URDU	II	III
PG_SEMESTER_2Y_CBCS	740	(CBCS_PG) M.SC. ANTHROPOLOHY	II	III
PG_SEMESTER_2Y_CBCS	741	(CBCS_PG) M.SC. BIOCHEMISTRY	II	III
PG_SEMESTER_2Y_CBCS	743	(CBCS_PG) M.SC. BIOMEDICAL SCIENCE	II	III
PG_SEMESTER_2Y_CBCS	744	(CBCS_PG) M.SC. BIOPHYSICS	II	III
PG_SEMESTER_2Y_CBCS	745	(CBCS_PG) M.SC. BOTANY	II	III
PG_SEMESTER_2Y_CBCS	746	(CBCS_PG) M.SC. CHEMISTRY	II	III
PG_SEMESTER_2Y_CBCS	747	(CBCS_PG) M.SC. COMPUTER SCIENCE	II	III
PG_SEMESTER_2Y_CBCS	748	(CBCS_PG) M.SC. DEVELOPMENT COMMUNICATION & EXTENSION DEPARTMENT OF HOME SCIENCE	II	III
PG_SEMESTER_2Y_CBCS	749	(CBCS_PG) M.SC. ELECTRONICS	II	III
PG_SEMESTER_2Y_CBCS	750	(CBCS_PG) M.SC. ENVIRONMENTAL STUDIES	II	III
PG_SEMESTER_2Y_CBCS	751	(CBCS_PG) M.SC. FOOD AND NUTRITION	II	III
PG_SEMESTER_2Y_CBCS	752	(CBCS_PG) M.SC. FORENSIC SCIENCE	II	III
PG_SEMESTER_2Y_CBCS	753	(CBCS_PG) M.SC. GENETICS	II	III
PG_SEMESTER_2Y_CBCS	754	(CBCS_PG) M.SC. GEOLOGY	II	III
PG_SEMESTER_2Y_CBCS	755	(CBCS_PG) M.SC. HUMAN DEVELOPMENT AND CHILDHOOD STUDIES	II	III
PG_SEMESTER_2Y_CBCS	756	(CBCS_PG) M.SC. INFORMATICS	II	III
PG_SEMESTER_2Y_CBCS	757	(CBCS_PG) MASTER OF COMPUTER APPLICATIONS	II	III
PG_SEMESTER_2Y_CBCS	758	(CBCS_PG) M.SC. MATHEMATICS	II	III
PG_SEMESTER_2Y_CBCS	759	(CBCS_PG) (C.I.C) M.SC. MATHEMATICS EDUCATION	II	III
PG_SEMESTER_2Y_CBCS	760	(CBCS_PG) M.SC. MICROBIOLOGY	II	III
PG_SEMESTER_2Y_CBCS	761	(CBCS_PG) MASTER OF OPERATIONAL RESEARCH	II	III
PG_SEMESTER_2Y_CBCS	762	(CBCS_PG) M.SC. PHYSICS	II	III
PG_SEMESTER_2Y_CBCS	763	(CBCS_PG) M.SC. PLANT MOLECULAR BIOLOGY AND BIOTECHNOLOGY	II	III
PG_SEMESTER_2Y_CBCS	764	(CBCS_PG) M.SC. RESOURCE MANAGEMENT AND DESIGN APPLICATION DEPARTMENT OF HOME SCIENCE	II	III
PG_SEMESTER_2Y_CBCS	765	(CBCS_PG) M.SC. STATISTICS	II	III
PG_SEMESTER_2Y_CBCS	766	(CBCS_PG) M.SC. ZOOLOGY	II	III
PG_SEMESTER_2Y_CBCS	767	(CBCS_PG) M.SC. FABRIC & APPAREL SCIENCE	II	III
PG_SEMESTER_2Y_CBCS	774	(CBCS_PG) MASTER OF COMMERCE	II	III
PG_SEMESTER_2Y_CBCS	775	(CBCS_PG) MBA BUSINESS ECONOMICS	II	III
PG_SEMESTER_2Y_CBCS	776	(CBCS_PG) MBA FINANCE	II	III
PG_SEMESTER_2Y_CBCS	777	(CBCS_PG) MBA	II	III
PG_SEMESTER_2Y_CBCS	778	(CBCS_PG) MBA- EXECUTIVE	II	III
PG_SEMESTER_2Y_CBCS	779	(CBCS_PG) MBA: (EXECUTIVE) HEALTH CARE ADMINISTRATION	II	III
PG_SEMESTER_2Y_CBCS	798	(CBCS_PG) MBA (HRD)	II	III
PG_SEMESTER_2Y_CBCS	799	(CBCS_PG) MBA (IB)	II	III
PG_SEMESTER_2Y_CBCS	800	(CBCS_PG) MASTER OF JOURNALISM (M.J.)	II	III
PG_SEMESTER_2Y_CBCS	757	(CBCS_PG) MASTER OF COMPUTER APPLICATIONS	III	V
UG_SEMESTER_4Y	441	(U.G)(FYUP)-B.TECH. COMPUTER SCIENCE	III	VIII
UG_SEMESTER_4Y	911	(C.I.C) - B.TECH (INFORMATION TECHNOLOGY AND MATHEMATICAL INNOVATIONS)	IV	VII
